product_id,title,category,rating,review_count,price,description,review_text,category_source,text_features,popularity_score
books_0,there was an old lady who swallowed a shell,"""books""",1.0,0.0,,,i love it and so does my students,books,"there was an old lady who swallowed a shell there was an old lady who swallowed a shell there was an old lady who swallowed a shell ""books"" books i love it and so does my students",0.75
books_1,i saw a friend,"""books""",1.0,0.0,,,my wife and i ordered 2 books and gave them as presents one to a friend s daughter and the other to our grandson both children were so happy with the story by author katrina streza and they were overjoyed with the absolutely adorable artwork by artist michele katz throughout the book we highly recommend 34 i saw a friend 34 to all your little ones,books,"i saw a friend i saw a friend i saw a friend ""books"" books my wife and i ordered 2 books and gave them as presents one to a friend s daughter and the other to our grandson both children were so happy with the story by author katrina streza and they were overj",0.75
books_2,black lagoon vol 6,"""books""",1.0,0.0,,,great book just like all the others in the series,books,"black lagoon vol 6 black lagoon vol 6 black lagoon vol 6 ""books"" books great book just like all the others in the series",0.75
books_3,if i stay,"""books""",1.0,0.0,,,so beautiful,books,"if i stay if i stay if i stay ""books"" books so beautiful",0.75
books_4,stars n strips forever,"""books""",1.0,0.0,,,enjoyed the author s story and his quilts are incredible i have plans to make three,books,"stars n strips forever stars n strips forever stars n strips forever ""books"" books enjoyed the author s story and his quilts are incredible i have plans to make three",0.75
books_5,the liar,"""books""",0.0,0.0,,,two or three pages into the book i suspected how it would end and after another 10 or 20 pages i was sure and i was right so much for suspense the best i could say about this book is that it is okay just barely it s a long book unnecessarily long and when the author hasn t taken the trouble to craft her plot in a suspenseful way there s not a lot there to make you want to turn the page i have mixed feelings about her main character who was supposed to have been a vibrant energetic assertive woman yet became weak and submissive to her manipulative husband it s hard for any reader to identiify with that additionally the romance in the book isn t all that interesting just two people who are attracted to each other no real getting to know you development no build up of heat no surprise really this 500 page book is really 250 pages too long and it all feels stretched out with long sequences of unnecessary dialogue superfluous scenes to establish things that already have been established and so on can t help wondering what s going on with nora roberts these days she s written a number of really good books but her recent books seem like 34 nora roberts diluted 34 so so at best maybe with so many books behind her she s just burning out as far as this one goes i m glad i got it from the library if i had paid for it i d have been steamed maybe if she wrote fewer books each year but better ones i d be a happier reader,books,"the liar the liar the liar ""books"" books two or three pages into the book i suspected how it would end and after another 10 or 20 pages i was sure and i was right so much for suspense the best i could say about this book is that it is okay j",0.25
books_6,devil in the details book 2 the monastery murders volume 2,"""books""",1.0,0.0,,,34 secrets in the shallows 34 book 1 of 34 the monastery murders 34 series grabbed me and drew me in book 2 34 devil in the detals 34 tightened its hold on me and now i m addicted did mother superior really murder the two catholic school boys if she didn t then who did and will the actual murderer be found out and caught did the murder of the beautiful golden tressed nun and a boy s apparent suicide ten years earlier tie in with the more recent murders what is the spirit in the monastery trying to say some answers are revealed in this book but the mystery broadens and many more questions arise i enjoyed this gripping book immensely and you will too now i must read book 3 so i can get the whole story,books,"devil in the details book 2 the monastery murders volume 2 devil in the details book 2 the monastery murders volume 2 devil in the details book 2 the monastery murders volume 2 ""books"" books 34 secrets in the shallows 34 book 1 of 34 the monastery murders 34 series grabbed me and drew me in book 2 34 devil in the detals 34 tightened its hold on me and now i m addicted did mother superior ",0.75
books_7,knowing when to stop a memoir,"""books""",1.0,0.0,,,i love it,books,"knowing when to stop a memoir knowing when to stop a memoir knowing when to stop a memoir ""books"" books i love it",0.75
books_8,the american pageant,"""books""",1.0,0.0,,,it was a great purchase,books,"the american pageant the american pageant the american pageant ""books"" books it was a great purchase",0.75
books_9,punjabi c l bible common language version,"""books""",1.0,0.0,,,quality product fast shipping,books,"punjabi c l bible common language version punjabi c l bible common language version punjabi c l bible common language version ""books"" books quality product fast shipping",0.75
books_10,the aeneid everyman s library,"""books""",1.0,0.0,,,very happy,books,"the aeneid everyman s library the aeneid everyman s library the aeneid everyman s library ""books"" books very happy",0.75
books_11,the ymca of middle tennessee three centuries of service,"""books""",1.0,0.0,,,love reading all books by this author very in depth his love of history is evident always accurate reputable shipper,books,"the ymca of middle tennessee three centuries of service the ymca of middle tennessee three centuries of service the ymca of middle tennessee three centuries of service ""books"" books love reading all books by this author very in depth his love of history is evident always accurate reputable shipper",0.75
books_12,memoirs by harry s truman 1945 year of decisions,"""books""",1.0,0.0,,,such a great purchase,books,"memoirs by harry s truman 1945 year of decisions memoirs by harry s truman 1945 year of decisions memoirs by harry s truman 1945 year of decisions ""books"" books such a great purchase",0.75
books_13,arms of our fighting men,"""books""",1.0,0.0,,,book was fine thank you,books,"arms of our fighting men arms of our fighting men arms of our fighting men ""books"" books book was fine thank you",0.75
books_14,presbyterian creeds a guide to the book of confessions,"""books""",0.0,0.0,,,the presbyterian book of confessions contains multiple creeds for use by the denomination this guidebook helps he lay person to understand how these creeds came about and how to consider them in the context of their time and today av valuable guide for the average person,books,"presbyterian creeds a guide to the book of confessions presbyterian creeds a guide to the book of confessions presbyterian creeds a guide to the book of confessions ""books"" books the presbyterian book of confessions contains multiple creeds for use by the denomination this guidebook helps he lay person to understand how these creeds came about and how to consider them in the c",0.25
books_15,hello ocean hola mar,"""books""",1.0,0.0,,,beautiful work and brings back the childhood of one who grew up by the ocean,books,"hello ocean hola mar hello ocean hola mar hello ocean hola mar ""books"" books beautiful work and brings back the childhood of one who grew up by the ocean",0.75
books_16,the vampire lestat vampire chronicles book ii,"""books""",1.0,0.0,,,this is my favorite novel of all time lester just resonates with me on so many levels i haven t read any of anne rice s other books but i ve re read this one at least 3 times great buy great value,books,"the vampire lestat vampire chronicles book ii the vampire lestat vampire chronicles book ii the vampire lestat vampire chronicles book ii ""books"" books this is my favorite novel of all time lester just resonates with me on so many levels i haven t read any of anne rice s other books but i ve re read this one at least 3 times great buy great value",0.75
books_17,the book of life all souls,"""books""",1.0,0.0,,,love deborah harness s trilogy didn t want the story to end and hope they turn this trilogy into a movie i would love it if she wrote more books to continue this story,books,"the book of life all souls the book of life all souls the book of life all souls ""books"" books love deborah harness s trilogy didn t want the story to end and hope they turn this trilogy into a movie i would love it if she wrote more books to continue this story",0.75
books_18,disney descendants yearbook,"""books""",1.0,0.0,,,now my daughter has all three of mals books they are all great,books,"disney descendants yearbook disney descendants yearbook disney descendants yearbook ""books"" books now my daughter has all three of mals books they are all great",0.75
books_19,comptia a certification all in one exam guide 8th edition exams 220 801 220 802,"""books""",1.0,0.0,,,bought this book for my boyfriend he said it has been very useful in helping him study for his a certification exam,books,"comptia a certification all in one exam guide 8th edition exams 220 801 220 802 comptia a certification all in one exam guide 8th edition exams 220 801 220 802 comptia a certification all in one exam guide 8th edition exams 220 801 220 802 ""books"" books bought this book for my boyfriend he said it has been very useful in helping him study for his a certification exam",0.75
books_20,nirvana the complete illustrated history,"""books""",1.0,0.0,,,i bought this book at the emp music museum in seattle washington and i absolutely love it definitely shows you another perspective of the band i ve been a huge fan ever since i can remember my only complaint is that it s not long enough i never want it to end,books,"nirvana the complete illustrated history nirvana the complete illustrated history nirvana the complete illustrated history ""books"" books i bought this book at the emp music museum in seattle washington and i absolutely love it definitely shows you another perspective of the band i ve been a huge fan ever since i can remember my only co",0.75
books_21,the bike deconstructed a grand tour of the modern bicycle,"""books""",1.0,0.0,,,good read love anything about bikes i learned a lot reading this,books,"the bike deconstructed a grand tour of the modern bicycle the bike deconstructed a grand tour of the modern bicycle the bike deconstructed a grand tour of the modern bicycle ""books"" books good read love anything about bikes i learned a lot reading this",0.75
books_22,the one day weekend college football goes professional,"""books""",1.0,0.0,,,as football seasons restarts and the northwest university labor decision players lost was just handed down this book is very topical and reads like a combination of the sports pages the finance section and the newspages you get this 34 i was there 34 sense as college football is remade and the university administrators the ncaa and the nfl all play a role it s like watching a simulation in action although it could be real,books,"the one day weekend college football goes professional the one day weekend college football goes professional the one day weekend college football goes professional ""books"" books as football seasons restarts and the northwest university labor decision players lost was just handed down this book is very topical and reads like a combination of the sports pages the finance sectio",0.75
books_23,the encyclopedia of infant and toddlers activities for children birth to 3 written by teachers for teachers,"""books""",1.0,0.0,,,excellent resource,books,"the encyclopedia of infant and toddlers activities for children birth to 3 written by teachers for teachers the encyclopedia of infant and toddlers activities for children birth to 3 written by teachers for teachers the encyclopedia of infant and toddlers activities for children birth to 3 written by teachers for teachers ""books"" books excellent resource",0.75
books_24,crimes of the educators how utopians are using government schools to destroy america s children,"""books""",1.0,0.0,,,excellent,books,"crimes of the educators how utopians are using government schools to destroy america s children crimes of the educators how utopians are using government schools to destroy america s children crimes of the educators how utopians are using government schools to destroy america s children ""books"" books excellent",0.75
books_25,high school runner freshman,"""books""",1.0,0.0,,,a must read for any high school runner or former runner,books,"high school runner freshman high school runner freshman high school runner freshman ""books"" books a must read for any high school runner or former runner",0.75
books_26,microbiology with diseases by taxonomy books a la carte edition and modified masteringmicrobiology with pearson etext valuepack access card for diseases by taxonomy package 4th edition,"""books""",1.0,0.0,,,saved money and received pretty quick,books,"microbiology with diseases by taxonomy books a la carte edition and modified masteringmicrobiology with pearson etext valuepack access card for diseases by taxonomy package 4th edition microbiology with diseases by taxonomy books a la carte edition and modified masteringmicrobiology with pearson etext valuepack access card for diseases by taxonomy package 4th edition microbiology with diseases by taxonomy books a la carte edition and modified masteringmicrobiology with pearson etext valuepack access card for diseases by taxonomy package 4th edition ""books"" books saved money and received pretty quick",0.75
books_27,tuesdays with morrie an old man a young man and life s greatest lesson 1st edition,"""books""",1.0,0.0,,,item as described such a great book,books,"tuesdays with morrie an old man a young man and life s greatest lesson 1st edition tuesdays with morrie an old man a young man and life s greatest lesson 1st edition tuesdays with morrie an old man a young man and life s greatest lesson 1st edition ""books"" books item as described such a great book",0.75
books_28,the life changing magic of tidying up the japanese art of decluttering and organizing,"""books""",0.0,0.0,,,sort of lame would like pictures to see how she folds all her clothes 34 that make her feel joy 34,books,"the life changing magic of tidying up the japanese art of decluttering and organizing the life changing magic of tidying up the japanese art of decluttering and organizing the life changing magic of tidying up the japanese art of decluttering and organizing ""books"" books sort of lame would like pictures to see how she folds all her clothes 34 that make her feel joy 34",0.25
books_29,pearson reviews rationales medical surgical nursing,"""books""",1.0,0.0,,,this was very helpful for my med surg class i used this to study for my exams in addition to the test books it really summarized each system and focused on what nclex thought was important,books,"pearson reviews rationales medical surgical nursing pearson reviews rationales medical surgical nursing pearson reviews rationales medical surgical nursing ""books"" books this was very helpful for my med surg class i used this to study for my exams in addition to the test books it really summarized each system and focused on what nclex thought was important",0.75
